STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,DLY-TAVG-STDDEV
GHCND:USW00003999,392.6,30.7397,-98.235,20100715,2.9
GHCND:USW00003999,392.6,30.7406,-98.2354,20101015,6.7
GHCND:USW00023129,9.4,33.8116,-118.1463,20100115,4.7
GHCND:USW00023129,9.4,33.8116,-118.1463,20100415,4.8
GHCND:USW00023129,9.4,33.8116,-118.1463,20100715,3.5
GHCND:USW00023129,9.4,33.8116,-118.1463,20101015,4.3
GHCND:USW00003991,195.7,33.20611,-97.19889,20100115,9.9
GHCND:USW00003991,195.7,33.20611,-97.19889,20100415,7.7
GHCND:USW00003991,195.7,33.20611,-97.19889,20100715,3.8
GHCND:USW00003991,195.7,33.20611,-97.19889,20101015,7.5
GHCND:USC00086078,1.5,26.16861,-81.71583,20100115,7.5
GHCND:USC00086078,1.5,26.16861,-81.71583,20100415,4.3
GHCND:USC00086078,1.5,26.16861,-81.71583,20100715,1.7
GHCND:USC00086078,1.5,26.16861,-81.71583,20101015,3.8
GHCND:USC00016129,195.1,32.6592,-85.4492,20100115,9.6
GHCND:USC00016129,195.1,32.6592,-85.4492,20100415,7.2
GHCND:USC00016129,195.1,32.6592,-85.4492,20100715,3.0
GHCND:USC00016129,195.1,32.6592,-85.4492,20101015,7.1
GHCND:USC00042012,61,36.0975,-119.5817,20100115,5.5
GHCND:USC00042012,61,36.0975,-119.5817,20100415,6.1
GHCND:USC00042012,61,36.0975,-119.5817,20100715,4.8
GHCND:USC00042012,61,36.0975,-119.5817,20101015,5.4
GHCND:USW00023130,234.7,34.20972,-118.48917,20100115,5.9
GHCND:USW00023130,234.7,34.20972,-118.48917,20100415,5.9
GHCND:USW00023130,234.7,34.20972,-118.48917,20100715,4.6
GHCND:USW00023130,234.7,34.20972,-118.48917,20101015,5.9
GHCND:USC00410984,329.2,33.55111,-97.84722,20100115,10.1
GHCND:USC00410984,329.2,33.55111,-97.84722,20100415,8.0
GHCND:USC00410984,329.2,33.55111,-97.84722,20100715,4.1
GHCND:USC00410984,329.2,33.55111,-97.84722,20101015,7.5
GHCND:USC00256290,606.6,42.4594,-98.6563,20100115,13.2
